Title,Hours played,Time to beat,,Default price,Price/Hours played,Release date,Metascore,Install size (MB),Controller support,Genres
Sid Meier's Civilization VI,625.54,min: 16h 30m,max: 144h,59.99,0.1,Oct 20 2016,88,12000,None,Strategy
The Elder Scrolls V: Skyrim,273.11,min: 32h,max: 225h,19.99,0.08,"Nov 10, 2011",94,6000,partial,RPG
Sid Meier's Civilization V,255.39,N/A,N/A,29.99,0.12,"Sep 21, 2010",90,8000,none,Strategy
The Elder Scrolls V: Skyrim Special Edition,197.14,min: 24h 30m,max: 213h,39.99,0.21,"Oct 27, 2016",74,12000,None,RPG
XCOM: Enemy Unknown,124.37,min: 26h,max: 55h,29.99,0.25,"Oct 8, 2012",89,20000,partial,Strategy
Mount & Blade: Warband,106.94,N/A,N/A,19.99,0.19,"Mar 31, 2010",78,100,none,"Action, RPG"
Don't Starve,106.69,N/A,N/A,14.99,0.15,,79,500,none,"Adventure, Indie, Simulation"
XCOM 2,99.59,min: 30h 30m,max: 71h,59.99,0.61,"Feb 5, 2016",88,0,None,Strategy
MASSIVE CHALICE,71.54,min: 16h 30m,max: 30h,19.99,0.28,"Jun 1, 2015",73,2000,None,"Indie, Strategy, Early Access"
Sid Meier's Civilization: Beyond Earth,70.1,N/A,N/A,39.99,0.58,"Oct 23, 2014",81,8000,None,Strategy
Hollow Knight,57.7,min: 20h,max: 43h,14.99,0.26,"Feb 24, 2017",87,9000,None,"Action, Adventure, Indie"
Age of Empires® III (2007),49.4,min: 18h,max: 28h 30m,39.99,0.81,"Jan 5, 2012",81,12000,none,"Strategy, Simulation"
Valkyria Chronicles™,49.15,min: 31h 30m,max: 63h,19.99,0.41,"Nov 11, 2014",,25000,full,"Action, RPG, Strategy"
Age of Empires III: Definitive Edition,39.37,N/A,N/A,19.99,0.51,"Oct 15, 2020",75,42000,None,Strategy
Age of Mythology: Extended Edition,34.4,min: 29h,max: 55h 30m,29.99,0.88,"May 8, 2014",66,3000,None,"Simulation, Strategy"
Age of Empires II (2013),32.15,min: 27h 30m,max: 101h,19.99,0.63,"Apr 9, 2013",68,2000,none,Strategy
Path of Exile,28.72,N/A,N/A,0,0,"Oct 23, 2013",86,5000,None,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG, Nudity, Violent, Gore"
The Banner Saga,24.97,min: 10h 30m,max: 27h,24.99,1.01,"Jan 14, 2014",80,3000,None,"Indie, RPG, Strategy"
Endless Sky,21.82,N/A,N/A,0,0,"Oct 30, 2015",45,None,"Action, Adventure, Free to Play, RPG, Simulation",
Torchlight II,16.54,min: 20h 30m,max: 73h 30m,19.99,1.21,"Sep 20, 2012",88,1200,none,"Action, Adventure, Indie, RPG"
12 is Better Than 6,16.39,min: 4h,max: 7h,9.99,0.61,"Nov 20, 2015",74,300,None,"Action, Indie"
Democracy 3,10.45,N/A,N/A,24.99,2.4,"Oct 14, 2013",70,500,None,"Indie, Simulation, Strategy"
Cuphead,9.99,min: 9h,max: 18h 30m,19.99,2.01,"Sep 29, 2017",88,15000,None,"Action, Indie"
The Banner Saga 2,7.97,N/A,N/A,24.99,3.14,"Apr 19, 2016",82,4000,None,"Indie, RPG, Strategy"
Poly Bridge,6.85,min: 15h,max: 54h 30m,11.99,1.76,"Jul 12, 2016",73,150,None,"Indie, Simulation, Early Access"
Apotheon,6.47,min: 8h 30m,max: 13h,14.99,2.32,"Feb 3, 2015",78,0,full,"Action, Adventure, Indie, RPG"
Jotun: Valhalla Edition,6.12,min: 5h 30m,max: 6h 30m,14.99,2.45,"Sep 29, 2015",79,8000,"None Action, Adventure, Indie",
Darkest Dungeon®,5.9,min: 51h,max: 101h,24.99,4.24,"Jan 19, 2016",84,900,None,"Indie, RPG, Strategy, Early Access"
The Witcher 2: Assassins of Kings Enhanced Edition,5.39,min: 24h,max: 53h 30m,19.99,3.71,"Apr 16, 2012",88,25000,full,"RPG, Nudity"
The Elder Scrolls Online,5.35,N/A,N/A,19.99,3.74,"May 22, 2017",,80000,None,"Massively Multiplayer, RPG"
Dungeons 3,4.34,min: 16h 30m,max: 60h 58m,39.99,9.22,"Oct 13, 2017",75,0,None,"Simulation, Strategy"
The Flame in the Flood,4.25,min: 9h,max: 25h,14.99,3.53,"Feb 24, 2016",73,2000,None,"Action, Adventure, Indie, Early Access"
LISA,3.6,min: 11h,max: 23h,9.99,2.78,"Dec 15, 2014",78,800,partial,"Adventure, Indie, RPG"
Iron Snout,3.04,N/A,N/A,0,0,"Jan 27, 2016",0,0,None,"Action, Free to Play, Indie"
Victoria II,2.94,N/A,N/A,19.99,6.8,"Aug 30, 2010",75,2000,none,Strategy
Europa Universalis IV,2.46,N/A,N/A,39.99,16.26,"Aug 13, 2013",87,2000,None,"Simulation, Strategy"
Aegis Defenders,2.39,min: 11h,max: 14h 30m,19.99,8.37,"Feb 8, 2018",76,2000,None,"Action, Adventure, Indie, RPG, Strategy"
Tomb Raider,2.39,min: 11h 30m,max: 20h 30m,19.99,8.37,"Mar 5, 2013",86,12000,full,"Action, Adventure"
Helltaker,2.3,N/A,N/A,0,0,"May 11, 2020",0,300,None,"Adventure, Free to Play, Indie"
Bit Blaster XL,2.02,min: 3h 30m,max: 4h,0.99,0.5,"Jan 22, 2016",0,,None,"Action, Casual, Indie"
The First Tree,1.94,min: 1h 30m,max: 2h 30m,7.99,4.12,"Sep 14, 2017",0,5000,None,"Adventure, Indie"
ENDLESS™ Space - Definitive Edition,1.92,N/A,N/A,19.99,10.42,"Jul 4, 2012",77,2000,none,"Strategy, Indie"
PAC-MAN Championship Edition DX+,1.79,N/A,N/A,14.99,8.38,"Sep 24, 2013",0,500,partial,Action
CLANNAD,1.55,min: 66h 30m,max: 87h 30m,49.99,32.26,"Nov 23, 2015",83,7000,None,"Adventure, Casual"
Crusader Kings II,1.5,N/A,N/A,39.99,26.66,"Feb 14, 2012",82,2000,none,"RPG, Simulation, Strategy"
Deponia: The Complete Journey,1.47,min: 25h,max: 35h 30m,29.99,20.41,"Jul 8, 2014",0,8000,None,Adventure
Mulaka,1.25,min: 7h 30m,max: 10h,19.99,16,"Feb 27, 2018",75,3000,None,"Action, Adventure, Indie"
SanctuaryRPG: Black Edition,1.17,min: 16h 30m,max: 25h 30m,7.99,6.83,"Feb 13, 2015",0,200,None,"Action, Adventure, Casual, Indie, RPG, Strategy, Early Access"
Anna's Quest,1.02,min: 9h 30m,max: 11h,19.99,19.6,"jul 2, 2015",74,1400,None,"Adventure, Indie"
Hearts of Iron IV,0.97,N/A,N/A,39.99,,"jun 6, 2016",83,2000,None,"Strategy, Simulation"
Owlboy,0.8,min: 8h,max: 12h 30m,24.99,,"nov 1, 2016",88,600,None,"Action, Adventure, Indie"
Solar Flux,0.79,min: 3h,max: 11h,9.99,,"Oct 24, 2013 0",,300,full,"Indie, Strategy"
Confess My Love,0.64,2h,,,,"may 28, 2017",,50,None,"Adventure, Free to Play, Indie, RPG"
Never Alone (Kisima Ingitchuna),0.6,min: 3h,max: 4h,14.99,,"nov 18, 2014",,0,full,"Indie, Action, Adventure, Casual"
Life is Strange™,0.54,min: 14h,max: 18h,0,,"Jan 29, 2015",0,3000,None,"Action, Adventure"
Age of Wonders III,0.5,min: 24h,max: 58h 31m,29.99,,"mar 31, 2014",80,10000,None,"RPG, Strategy"
Lost Ark,0.5,,,,,,0,,,
Sins of a Solar Empire: Rebellion,0.34,N/A,N/A,39.99,,"jun 12, 2012",82,5000,none,"Strategy, Indie"
ShipLord,0.29,min: 6h,max: 7h 30m,10.99,,"Dec 2, 2015 0",0,,None,"Action, Adventure, Casual, Indie"
Lara Croft and the Temple of Osiris,0.25,min: 5h,max: 10h,19.99,,"Dec 8, 2014",73,0,full,"Action, Adventure"
LEGO® The Lord of the Rings™,0.2,min: 10h,max: 32h,19.99,,"nov 27, 2012",80,8000,none,"Action, Adventure"
Endorlight,0.19,min: 2h 30m,max: 3h 2.99,,,"Dec 22, 2015",0,0,None,"Adventure, Casual, Indie, Early Access"